fn1,fn2,fn3
2022-06-23,MSU-horticulture-farm-bees-122126,8
2022-06-23,MSU-horticulture-farm-bees-122126,43
2022-06-23,MSU-horticulture-farm-bees-122126,59
2022-06-23,MSU-horticulture-farm-bees-122126,68
2022-06-23,MSU-horticulture-farm-bees-122126,74
2022-06-23,MSU-horticulture-farm-bees-122126,80
2022-06-23,MSU-horticulture-farm-bees-122126,82
2022-06-23,MSU-horticulture-farm-bees-122126,83
2022-06-23,MSU-horticulture-farm-bees-122126,93
2022-06-23,MSU-horticulture-farm-bees-122126,97
2022-06-23,MSU-horticulture-farm-bees-122126,120
2022-06-23,MSU-horticulture-farm-bees-122126,139
2022-06-23,MSU-horticulture-farm-bees-122126,159
2022-06-23,MSU-horticulture-farm-bees-122126,171
2022-06-23,MSU-horticulture-farm-bees-122126,197
2022-06-23,MSU-horticulture-farm-bees-135615,3
2022-06-23,MSU-horticulture-farm-bees-135615,4
2022-06-23,MSU-horticulture-farm-bees-135615,18
2022-06-23,MSU-horticulture-farm-bees-135615,20
2022-06-23,MSU-horticulture-farm-bees-135615,33
2022-06-23,MSU-horticulture-farm-bees-135615,44
2022-06-23,MSU-horticulture-farm-bees-135615,46
2022-06-23,MSU-horticulture-farm-bees-135615,60
2022-06-23,MSU-horticulture-farm-bees-135615,77
2022-06-23,MSU-horticulture-farm-bees-141253,11
2022-06-23,MSU-horticulture-farm-bees-141253,20
2022-06-23,MSU-horticulture-farm-bees-141253,26
2022-06-23,MSU-horticulture-farm-bees-141253,29
2022-06-23,MSU-horticulture-farm-bees-141253,30
2022-06-23,MSU-horticulture-farm-bees-141253,42
2022-06-23,MSU-horticulture-farm-bees-141253,120
2022-06-23,MSU-horticulture-farm-bees-141253,122
2022-06-23,MSU-horticulture-farm-bees-141253,132
2022-06-23,MSU-horticulture-farm-bees-141253,134
2022-06-23,MSU-horticulture-farm-bees-141253,140
2022-06-23,MSU-horticulture-farm-bees-141253,141
2022-06-23,MSU-horticulture-farm-bees-141253,165
2022-06-23,MSU-horticulture-farm-bees-141253,199
2022-06-23,MSU-horticulture-farm-bees-141253,230
2022-06-23,MSU-horticulture-farm-bees-141253,249
2022-06-23,MSU-horticulture-farm-bees-141253,250
2022-06-23,MSU-horticulture-farm-bees-141253,280
2022-06-23,MSU-horticulture-farm-bees-141253,292
2022-06-23,MSU-horticulture-farm-bees-141253,366
2022-06-23,MSU-horticulture-farm-bees-141253,382
2022-06-23,MSU-horticulture-farm-bees-141253,397
2022-06-23,MSU-horticulture-farm-bees-141253,407
2022-06-23,MSU-horticulture-farm-bees-141253,418
