fn1,fn2,fn3
2022-06-23,MSU-horticulture-farm-bees-122126,11
2022-06-23,MSU-horticulture-farm-bees-122126,17
2022-06-23,MSU-horticulture-farm-bees-122126,19
2022-06-23,MSU-horticulture-farm-bees-122126,22
2022-06-23,MSU-horticulture-farm-bees-122126,41
2022-06-23,MSU-horticulture-farm-bees-122126,55
2022-06-23,MSU-horticulture-farm-bees-122126,59
2022-06-23,MSU-horticulture-farm-bees-122126,68
2022-06-23,MSU-horticulture-farm-bees-122126,74
2022-06-23,MSU-horticulture-farm-bees-122126,82
2022-06-23,MSU-horticulture-farm-bees-122126,83
2022-06-23,MSU-horticulture-farm-bees-122126,87
2022-06-23,MSU-horticulture-farm-bees-122126,93
2022-06-23,MSU-horticulture-farm-bees-122126,97
2022-06-23,MSU-horticulture-farm-bees-122126,98
2022-06-23,MSU-horticulture-farm-bees-122126,121
2022-06-23,MSU-horticulture-farm-bees-122126,122
2022-06-23,MSU-horticulture-farm-bees-122126,134
2022-06-23,MSU-horticulture-farm-bees-122126,139
2022-06-23,MSU-horticulture-farm-bees-122126,140
2022-06-23,MSU-horticulture-farm-bees-122126,142
2022-06-23,MSU-horticulture-farm-bees-122126,148
2022-06-23,MSU-horticulture-farm-bees-122126,150
2022-06-23,MSU-horticulture-farm-bees-122126,170
2022-06-23,MSU-horticulture-farm-bees-122126,171
2022-06-23,MSU-horticulture-farm-bees-122126,176
2022-06-23,MSU-horticulture-farm-bees-122126,197
2022-06-23,MSU-horticulture-farm-bees-122126,198
2022-06-23,MSU-horticulture-farm-bees-122126,199
2022-06-23,MSU-horticulture-farm-bees-135615,3
2022-06-23,MSU-horticulture-farm-bees-135615,4
2022-06-23,MSU-horticulture-farm-bees-135615,18
2022-06-23,MSU-horticulture-farm-bees-135615,33
2022-06-23,MSU-horticulture-farm-bees-135615,46
2022-06-23,MSU-horticulture-farm-bees-135615,66
2022-06-23,MSU-horticulture-farm-bees-135615,73
2022-06-23,MSU-horticulture-farm-bees-135615,74
2022-06-23,MSU-horticulture-farm-bees-135615,76
2022-06-23,MSU-horticulture-farm-bees-135615,77
2022-06-23,MSU-horticulture-farm-bees-141253,1
2022-06-23,MSU-horticulture-farm-bees-141253,9
2022-06-23,MSU-horticulture-farm-bees-141253,15
2022-06-23,MSU-horticulture-farm-bees-141253,20
2022-06-23,MSU-horticulture-farm-bees-141253,26
2022-06-23,MSU-horticulture-farm-bees-141253,29
2022-06-23,MSU-horticulture-farm-bees-141253,30
2022-06-23,MSU-horticulture-farm-bees-141253,42
2022-06-23,MSU-horticulture-farm-bees-141253,60
2022-06-23,MSU-horticulture-farm-bees-141253,72
2022-06-23,MSU-horticulture-farm-bees-141253,74
2022-06-23,MSU-horticulture-farm-bees-141253,85
2022-06-23,MSU-horticulture-farm-bees-141253,94
2022-06-23,MSU-horticulture-farm-bees-141253,95
2022-06-23,MSU-horticulture-farm-bees-141253,105
2022-06-23,MSU-horticulture-farm-bees-141253,115
2022-06-23,MSU-horticulture-farm-bees-141253,124
2022-06-23,MSU-horticulture-farm-bees-141253,134
2022-06-23,MSU-horticulture-farm-bees-141253,139
2022-06-23,MSU-horticulture-farm-bees-141253,140
2022-06-23,MSU-horticulture-farm-bees-141253,141
2022-06-23,MSU-horticulture-farm-bees-141253,165
2022-06-23,MSU-horticulture-farm-bees-141253,199
2022-06-23,MSU-horticulture-farm-bees-141253,217
2022-06-23,MSU-horticulture-farm-bees-141253,225
2022-06-23,MSU-horticulture-farm-bees-141253,234
2022-06-23,MSU-horticulture-farm-bees-141253,249
2022-06-23,MSU-horticulture-farm-bees-141253,250
2022-06-23,MSU-horticulture-farm-bees-141253,265
2022-06-23,MSU-horticulture-farm-bees-141253,341
2022-06-23,MSU-horticulture-farm-bees-141253,357
2022-06-23,MSU-horticulture-farm-bees-141253,366
2022-06-23,MSU-horticulture-farm-bees-141253,385
2022-06-23,MSU-horticulture-farm-bees-141253,407
2022-06-23,MSU-horticulture-farm-bees-141253,418
2022-06-23,MSU-horticulture-farm-bees-141253,423
2022-06-23,MSU-horticulture-farm-bees-141253,426
2022-06-23,MSU-horticulture-farm-bees-141253,427
2022-06-23,MSU-horticulture-farm-bees-141253,428
2022-06-23,MSU-horticulture-farm-bees-141253,431
2022-06-23,MSU-horticulture-farm-bees-141253,436
2022-06-23,MSU-horticulture-farm-bees-141253,437
2022-06-23,MSU-horticulture-farm-bees-141253,446
