fp1,fp2,fp3
2022-06-23,MSU-horticulture-farm-bees-122126,5
2022-06-23,MSU-horticulture-farm-bees-122126,13
2022-06-23,MSU-horticulture-farm-bees-122126,14
2022-06-23,MSU-horticulture-farm-bees-122126,16
2022-06-23,MSU-horticulture-farm-bees-122126,23
2022-06-23,MSU-horticulture-farm-bees-122126,25
2022-06-23,MSU-horticulture-farm-bees-122126,28
2022-06-23,MSU-horticulture-farm-bees-122126,34
2022-06-23,MSU-horticulture-farm-bees-122126,36
2022-06-23,MSU-horticulture-farm-bees-122126,42
2022-06-23,MSU-horticulture-farm-bees-122126,48
2022-06-23,MSU-horticulture-farm-bees-122126,51
2022-06-23,MSU-horticulture-farm-bees-122126,52
2022-06-23,MSU-horticulture-farm-bees-122126,58
2022-06-23,MSU-horticulture-farm-bees-122126,63
2022-06-23,MSU-horticulture-farm-bees-122126,65
2022-06-23,MSU-horticulture-farm-bees-122126,67
2022-06-23,MSU-horticulture-farm-bees-122126,69
2022-06-23,MSU-horticulture-farm-bees-122126,70
2022-06-23,MSU-horticulture-farm-bees-122126,73
2022-06-23,MSU-horticulture-farm-bees-122126,76
2022-06-23,MSU-horticulture-farm-bees-122126,77
2022-06-23,MSU-horticulture-farm-bees-122126,88
2022-06-23,MSU-horticulture-farm-bees-122126,91
2022-06-23,MSU-horticulture-farm-bees-122126,94
2022-06-23,MSU-horticulture-farm-bees-122126,99
2022-06-23,MSU-horticulture-farm-bees-122126,101
2022-06-23,MSU-horticulture-farm-bees-122126,105
2022-06-23,MSU-horticulture-farm-bees-122126,106
2022-06-23,MSU-horticulture-farm-bees-122126,114
2022-06-23,MSU-horticulture-farm-bees-122126,118
2022-06-23,MSU-horticulture-farm-bees-122126,119
2022-06-23,MSU-horticulture-farm-bees-122126,130
2022-06-23,MSU-horticulture-farm-bees-122126,132
2022-06-23,MSU-horticulture-farm-bees-122126,135
2022-06-23,MSU-horticulture-farm-bees-122126,136
2022-06-23,MSU-horticulture-farm-bees-122126,137
2022-06-23,MSU-horticulture-farm-bees-122126,138
2022-06-23,MSU-horticulture-farm-bees-122126,144
2022-06-23,MSU-horticulture-farm-bees-122126,146
2022-06-23,MSU-horticulture-farm-bees-122126,149
2022-06-23,MSU-horticulture-farm-bees-122126,155
2022-06-23,MSU-horticulture-farm-bees-122126,157
2022-06-23,MSU-horticulture-farm-bees-122126,158
2022-06-23,MSU-horticulture-farm-bees-122126,160
2022-06-23,MSU-horticulture-farm-bees-122126,161
2022-06-23,MSU-horticulture-farm-bees-122126,164
2022-06-23,MSU-horticulture-farm-bees-122126,166
2022-06-23,MSU-horticulture-farm-bees-122126,175
2022-06-23,MSU-horticulture-farm-bees-122126,177
2022-06-23,MSU-horticulture-farm-bees-122126,186
2022-06-23,MSU-horticulture-farm-bees-122126,188
2022-06-23,MSU-horticulture-farm-bees-131621,4
2022-06-23,MSU-horticulture-farm-bees-131933,2
2022-06-23,MSU-horticulture-farm-bees-135615,7
2022-06-23,MSU-horticulture-farm-bees-135615,15
2022-06-23,MSU-horticulture-farm-bees-135615,28
2022-06-23,MSU-horticulture-farm-bees-135615,29
2022-06-23,MSU-horticulture-farm-bees-135615,34
2022-06-23,MSU-horticulture-farm-bees-135615,36
2022-06-23,MSU-horticulture-farm-bees-135615,45
2022-06-23,MSU-horticulture-farm-bees-135615,48
2022-06-23,MSU-horticulture-farm-bees-135615,51
2022-06-23,MSU-horticulture-farm-bees-135615,52
2022-06-23,MSU-horticulture-farm-bees-135615,53
2022-06-23,MSU-horticulture-farm-bees-135615,54
2022-06-23,MSU-horticulture-farm-bees-135615,56
