fp1,fp2,fp3
2022-06-23,MSU-horticulture-farm-bees-121320,1
2022-06-23,MSU-horticulture-farm-bees-122126,13
2022-06-23,MSU-horticulture-farm-bees-122126,26
2022-06-23,MSU-horticulture-farm-bees-122126,27
2022-06-23,MSU-horticulture-farm-bees-122126,28
2022-06-23,MSU-horticulture-farm-bees-122126,37
2022-06-23,MSU-horticulture-farm-bees-122126,38
2022-06-23,MSU-horticulture-farm-bees-122126,44
2022-06-23,MSU-horticulture-farm-bees-122126,50
2022-06-23,MSU-horticulture-farm-bees-122126,51
2022-06-23,MSU-horticulture-farm-bees-122126,66
2022-06-23,MSU-horticulture-farm-bees-122126,67
2022-06-23,MSU-horticulture-farm-bees-122126,85
2022-06-23,MSU-horticulture-farm-bees-122126,91
2022-06-23,MSU-horticulture-farm-bees-122126,99
2022-06-23,MSU-horticulture-farm-bees-122126,123
2022-06-23,MSU-horticulture-farm-bees-122126,146
2022-06-23,MSU-horticulture-farm-bees-122126,160
2022-06-23,MSU-horticulture-farm-bees-122126,161
2022-06-23,MSU-horticulture-farm-bees-122126,181
2022-06-23,MSU-horticulture-farm-bees-131621,4
2022-06-23,MSU-horticulture-farm-bees-135615,71
2022-06-23,MSU-horticulture-farm-bees-141253,10
2022-06-23,MSU-horticulture-farm-bees-141253,57
2022-06-23,MSU-horticulture-farm-bees-141253,104
2022-06-23,MSU-horticulture-farm-bees-141253,144
2022-06-23,MSU-horticulture-farm-bees-141253,163
2022-06-23,MSU-horticulture-farm-bees-141253,183
2022-06-23,MSU-horticulture-farm-bees-141253,235
2022-06-23,MSU-horticulture-farm-bees-141253,242
2022-06-23,MSU-horticulture-farm-bees-141253,273
2022-06-23,MSU-horticulture-farm-bees-141253,434
2022-06-23,MSU-horticulture-farm-bees-141253,457
2022-06-23,MSU-horticulture-farm-bees-144154,56
2022-06-23,MSU-horticulture-farm-bees-144154,68
2022-06-23,MSU-horticulture-farm-bees-144154,102
2022-06-23,MSU-horticulture-farm-bees-144154,119
2022-06-23,MSU-horticulture-farm-bees-144154,167
2022-06-23,MSU-horticulture-farm-bees-144154,214
2022-06-23,MSU-horticulture-farm-bees-144154,250
