p1,p2,p3
2022-06-23,MSU-horticulture-farm-bees-122126,1
2022-06-23,MSU-horticulture-farm-bees-122126,7
2022-06-23,MSU-horticulture-farm-bees-122126,8
2022-06-23,MSU-horticulture-farm-bees-122126,9
2022-06-23,MSU-horticulture-farm-bees-122126,20
2022-06-23,MSU-horticulture-farm-bees-122126,29
2022-06-23,MSU-horticulture-farm-bees-122126,30
2022-06-23,MSU-horticulture-farm-bees-122126,35
2022-06-23,MSU-horticulture-farm-bees-122126,43
2022-06-23,MSU-horticulture-farm-bees-122126,47
2022-06-23,MSU-horticulture-farm-bees-122126,49
2022-06-23,MSU-horticulture-farm-bees-122126,54
2022-06-23,MSU-horticulture-farm-bees-122126,57
2022-06-23,MSU-horticulture-farm-bees-122126,80
2022-06-23,MSU-horticulture-farm-bees-122126,81
2022-06-23,MSU-horticulture-farm-bees-122126,111
2022-06-23,MSU-horticulture-farm-bees-122126,113
2022-06-23,MSU-horticulture-farm-bees-122126,115
2022-06-23,MSU-horticulture-farm-bees-122126,120
2022-06-23,MSU-horticulture-farm-bees-122126,127
2022-06-23,MSU-horticulture-farm-bees-122126,129
2022-06-23,MSU-horticulture-farm-bees-122126,141
2022-06-23,MSU-horticulture-farm-bees-122126,154
2022-06-23,MSU-horticulture-farm-bees-122126,159
2022-06-23,MSU-horticulture-farm-bees-122126,169
2022-06-23,MSU-horticulture-farm-bees-122126,174
2022-06-23,MSU-horticulture-farm-bees-122126,185
2022-06-23,MSU-horticulture-farm-bees-122126,193
2022-06-23,MSU-horticulture-farm-bees-135615,6
2022-06-23,MSU-horticulture-farm-bees-135615,14
2022-06-23,MSU-horticulture-farm-bees-135615,20
2022-06-23,MSU-horticulture-farm-bees-135615,37
2022-06-23,MSU-horticulture-farm-bees-135615,44
2022-06-23,MSU-horticulture-farm-bees-135615,60
2022-06-23,MSU-horticulture-farm-bees-135615,72
2022-06-23,MSU-horticulture-farm-bees-141253,4
2022-06-23,MSU-horticulture-farm-bees-141253,5
2022-06-23,MSU-horticulture-farm-bees-141253,6
2022-06-23,MSU-horticulture-farm-bees-141253,11
2022-06-23,MSU-horticulture-farm-bees-141253,16
2022-06-23,MSU-horticulture-farm-bees-141253,28
2022-06-23,MSU-horticulture-farm-bees-141253,32
2022-06-23,MSU-horticulture-farm-bees-141253,33
2022-06-23,MSU-horticulture-farm-bees-141253,46
2022-06-23,MSU-horticulture-farm-bees-141253,53
2022-06-23,MSU-horticulture-farm-bees-141253,58
2022-06-23,MSU-horticulture-farm-bees-141253,66
2022-06-23,MSU-horticulture-farm-bees-141253,70
2022-06-23,MSU-horticulture-farm-bees-141253,91
2022-06-23,MSU-horticulture-farm-bees-141253,98
2022-06-23,MSU-horticulture-farm-bees-141253,102
2022-06-23,MSU-horticulture-farm-bees-141253,108
2022-06-23,MSU-horticulture-farm-bees-141253,111
2022-06-23,MSU-horticulture-farm-bees-141253,119
2022-06-23,MSU-horticulture-farm-bees-141253,120
2022-06-23,MSU-horticulture-farm-bees-141253,122
2022-06-23,MSU-horticulture-farm-bees-141253,123
2022-06-23,MSU-horticulture-farm-bees-141253,125
2022-06-23,MSU-horticulture-farm-bees-141253,128
2022-06-23,MSU-horticulture-farm-bees-141253,132
2022-06-23,MSU-horticulture-farm-bees-141253,135
2022-06-23,MSU-horticulture-farm-bees-141253,145
2022-06-23,MSU-horticulture-farm-bees-141253,146
2022-06-23,MSU-horticulture-farm-bees-141253,153
2022-06-23,MSU-horticulture-farm-bees-141253,154
2022-06-23,MSU-horticulture-farm-bees-141253,162
2022-06-23,MSU-horticulture-farm-bees-141253,177
